,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
44,Chuck Aleksinas,Center,1982,6-11,"University of Kentucky, University of Connecticut","Litchfield, Connecticut","February 26, 1959",Chicago Bulls,76th overall,"Wamogo in Litchfield, Connecticut"
46,Cory Alexander,Shooting Guard and Point Guard,1995,6-1,University of Virginia,"Waynesboro, Virginia","June 22, 1973",San Antonio Spurs,29th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
47,Courtney Alexander,Point Guard and Shooting Guard,2000,6-5,"University of Virginia, California State University, Fresno","Bridgeport, Connecticut","April 27, 1977",Orlando Magic,13th overall,"Jordan in Durham, North Carolina"
49,Joe Alexander,Small Forward,2008,6-8,West Virginia University,"Kaohsiung, Taiwan","December 26, 1986",Milwaukee Bucks,8th overall,"Hargrave Military Academy in Chatham, Virginia"
50,Victor Alexander,Center,1991,6-9,Iowa State University,"Detroit, Michigan","August 31, 1969",Golden State Warriors,17th overall,"Denby in Detroit, Michigan"
51,Steve Alford,Point Guard,1987,6-2,Indiana University,"Franklin, Indiana","November 23, 1964",Dallas Mavericks,26th overall,"Chrysler in New Castle, Indiana"
55,Grayson Allen,Shooting Guard,2018,6-5,Duke University,"Jacksonville, Florida","October 8, 1995",Utah Jazz,21st overall,"Providence School in Jacksonville, Florida"
56,Jarrett Allen,Center,2017,6-11,University of Texas at Austin,"Austin, Texas","April 21, 1998",Brooklyn Nets,22nd overall,"St. Stephen's Episcopal School in Austin, Texas"
57,Jerome Allen,Shooting Guard,1995,6-4,University of Pennsylvania,"Philadelphia, Pennsylvania","January 28, 1973",Minnesota Timberwolves,49th overall,"Episcopal Academy in Merion Station, Pennsylvania"
58,Kadeem Allen,Shooting Guard and Point Guard,2017,6-3,University of Arizona,"Wilmington, North Carolina","January 15, 1993",Boston Celtics,53rd overall,"New Hanover in Wilmington, North Carolina"
59,Lavoy Allen,Power Forward and Center,2011,6-9,Temple University,"Morrisville, Pennsylvania","February 4, 1989",Philadelphia 76ers,50th overall,"Pennsbury in Fairless Hills, Pennsylvania"
60,Lucius Allen,Point Guard,1969,6-2,"University of California, Los Angeles","Kansas City, Kansas","September 26, 1947",Seattle SuperSonics,3rd overall,"Wyandotte in Kansas City, Kansas"
63,Ray Allen,Shooting Guard,1996,6-5,University of Connecticut,"Merced, California","July 20, 1975",Minnesota Timberwolves,5th overall,"Hillcrest in Dalzell, South Carolina"
64,Tony Allen,Shooting Guard and Small Forward and Point Guard,2004,6-4,"Butler County Community College, Oklahoma State University","Chicago, Illinois","January 11, 1982",Boston Celtics,25th overall,"Crane Technical Preparatory in Chicago, Illinois"
68,Darrell Allums,Power Forward,1980,6-9,"University of California, Los Angeles","Los Angeles, California","September 12, 1958",Dallas Mavericks,103rd overall,"Lynwood in Lynwood, California"
69,Morris Almond,Shooting Guard,2007,6-6,Rice University,"Dalton, Georgia","February 2, 1985",Utah Jazz,25th overall,"McEachern in Powder Springs, Georgia"
70,Derrick Alston,Center,1994,6-11,Duquesne University,"Bronx, New York","August 20, 1972",Philadelphia 76ers,33rd overall,"Hoboken in Hoboken, New Jersey"
71,Rafer Alston,Point Guard,1998,6-2,"California State University, Fresno","New York, New York","July 24, 1976",Milwaukee Bucks,39th overall,"Benjamin Cardozo in Bayside, New York"
75,Al-Farouq Aminu,Power Forward and Small Forward,2010,6-9,Wake Forest University,"Atlanta, Georgia","September 21, 1990",Los Angeles Clippers,8th overall,"Norcross in Norcross, Georgia"
77,Bob Anderegg,Small Forward,1959,6-3,Michigan State University,"Monroe, Wisconsin","August 24, 1937",New York Knicks,20th overall,"Monroe in Monroe, Wisconsin"
86,Derek Anderson,Shooting Guard and Small Forward and Point Guard,1997,6-5,"Ohio State University, University of Kentucky","Louisville, Kentucky","July 18, 1974",Cleveland Cavaliers,13th overall,"Doss in Louisville, Kentucky"
87,Dwight Anderson,Point Guard,1982,6-3,"University of Kentucky, University of Southern California","Dayton, Ohio","December 28, 1960",Washington Bullets,41st overall,"Roth in Dayton, Ohio"
89,Greg Anderson,Center and Power Forward,1987,6-10,University of Houston,"Houston, Texas","June 22, 1964",San Antonio Spurs,23rd overall,"Evan E. Worthing in Houston, Texas"
90,J.J. Anderson,Small Forward,1982,6-8,Bradley University,"Chicago, Illinois","September 23, 1960",Philadelphia 76ers,36th overall,"Metro in Chicago, Illinois"
91,James Anderson,Small Forward and Shooting Guard,2010,6-6,Oklahoma State University,"El Dorado, Arkansas","March 25, 1989",San Antonio Spurs,20th overall,"Junction City in Junction City, Arkansas"
92,Jerome Anderson,Shooting Guard,1975,6-5,West Virginia University,"Mullens, West Virginia","October 9, 1953",Boston Celtics,53rd overall,"Mullens in Mullens, West Virginia"
93,Justin Anderson,Small Forward,2015,6-6,University of Virginia,"Montross, Virginia","November 19, 1993",Dallas Mavericks,21st overall,"Montrose Christian in Rockville, Maryland"
94,Kenny Anderson,Point Guard,1991,6-0,Georgia Institute of Technology,"Queens, New York","October 9, 1970",New Jersey Nets,2nd overall,"Archbishop Molloy in Jamaica, New York"
95,Kim Anderson,Small Forward,1977,6-7,University of Missouri,"Sedalia, Missouri","May 12, 1955",Portland Trail Blazers,28th overall,"Smith-Cotton in Sedali, Missouri"
96,Kyle Anderson,Small Forward,2014,6-9,"University of California, Los Angeles","Fairview, New Jersey","September 20, 1993",San Antonio Spurs,30th overall,"St. Anthony's in Jersey City, New Jersey"
97,Michael Anderson,Point Guard,1988,5-11,Drexel University,"Philadelphia, Pennsylvania","March 23, 1966",Indiana Pacers,73rd overall,"George Washington Carver High School of Engineering and Science in Philadelphia, Pennsylvania"
98,Nick Anderson,Shooting Guard and Small Forward,1989,6-6,University of Illinois at Urbana-Champaign,"Chicago, Illinois","January 20, 1968",Orlando Magic,11th overall,"Simeon Vocational School in Chicago, Illinois"
99,Richard Anderson,Center and Power Forward,1982,6-10,"University of California, Santa Barbara","San Pedro, California","November 19, 1960",San Diego Clippers,32nd overall,"Rancho Alamitos in Garden Grove, California"
100,Ron Anderson,Small Forward,1984,6-7,"California State University, Fresno","Chicago, Illinois","October 15, 1958",Cleveland Cavaliers,27th overall,"Bowen in Chicago, Illinois"
101,Ryan Anderson,Power Forward,2008,6-10,University of California,"Sacramento, California","May 6, 1988",New Jersey Nets,21st overall,"Oak Ridge in El Dorado Hills, California"
102,Shandon Anderson,Small Forward and Shooting Guard,1996,6-6,University of Georgia,"Atlanta, Georgia","December 31, 1973",Utah Jazz,54th overall,"Crim in Atlanta, Georgia"
103,Willie Anderson,Shooting Guard and Small Forward,1988,6-7,University of Georgia,"Greenville, South Carolina","January 8, 1967",San Antonio Spurs,10th overall,"East Atlanta in Atlanta, Georgia"
107,Ike Anigbogu,Center,2017,6-10,"University of California, Los Angeles","San Diego, California","October 17, 1998",Indiana Pacers,47th overall,"Centennial in Corono, California"
108,Michael Ansley,Small Forward,1989,6-7,University of Alabama,"Birmingham, Alabama","February 8, 1967",Orlando Magic,37th overall,"Jackson-Olin in Birmingham, Alabama"
111,Kostas Antetokounmpo,Power Forward,2018,6-10,University of Dayton,"Athens, Greece","November 20, 1997",Philadelphia 76ers,60th overall,"Dominican HS in Whitefish Bay, Wisconsin"
113,Carmelo Anthony,Small Forward and Power Forward,2003,6-8,Syracuse University,"Brooklyn, New York","May 29, 1984",Denver Nuggets,3rd overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
114,Greg Anthony,Point Guard,1991,6-0,"University of Portland, University of Nevada, Las Vegas","Las Vegas, Nevada","November 15, 1967",New York Knicks,12th overall,"Rancho in North Las Vegas, Nevada"
117,OG Anunoby,Small Forward,2017,6-8,Indiana University,"London, United Kingdom","July 17, 1997",Toronto Raptors,23rd overall,"Jefferson City in Jefferson City, Missouri"
119,Rafael Araujo,Center,2004,6-11,Brigham Young University,"Curitiba, Brazil","August 12, 1980",Toronto Raptors,8th overall,"Padre Anacleto in Sao Paulo, Brazil"
121,Robert Archibald,Center and Power Forward,2002,6-11,University of Illinois at Urbana-Champaign,"Paisley, United Kingdom","March 29, 1980",Memphis Grizzlies,32nd overall,"Lafayette in Ballwin, Missouri"
122,Tiny Archibald,Point Guard,1970,6-1,University of Texas at El Paso,"New York, New York","September 2, 1948",Cincinnati Royals,19th overall,"DeWitt Clinton in Bronx, New York"
124,Jim Ard,Center,1970,6-8,University of Cincinnati,"Harvey, Illinois","September 19, 1948",Seattle SuperSonics,6th overall,"Thornton Township in Harvey, Illinois"
125,Gilbert Arenas,Point Guard,2001,6-3,University of Arizona,"Tampa, Florida","January 6, 1982",Golden State Warriors,31st overall,"Grant in Van Nuys, California"
126,Trevor Ariza,Small Forward and Shooting Guard,2004,6-8,"University of California, Los Angeles","Miami, Florida","June 30, 1985",New York Knicks,43rd overall,"Westchester in Los Angeles, California"
128,Joe Arlauckas,Small Forward,1987,6-9,Niagara University,"Rochester, New York","July 20, 1965",Sacramento Kings,74th overall,"Jefferson in Rochester, New York"
129,B.J. Armstrong,Point Guard,1989,6-2,University of Iowa,"Detroit, Michigan","September 9, 1967",Chicago Bulls,18th overall,"Brother Rice in Birmingham, Michigan"
131,Brandon Armstrong,Shooting Guard,2001,6-5,Pepperdine University,"San Francisco, California","June 16, 1980",Houston Rockets,23rd overall,"Vallejo in Vallejo, California"
134,Hilton Armstrong,Center and Power Forward,2006,6-11,University of Connecticut,"Peekskill, New York","November 11, 1984",New Orleans/Oklahoma City Hornets,12th overall,"Peekskill in Peekskill, New York"
135,Tate Armstrong,Shooting Guard,1977,6-3,Duke University,"Moultrie, Georgia","October 5, 1955",Chicago Bulls,13th overall,"Spring Woods in Houston, Texas"
136,Jesse Arnelle,Power Forward,1955,6-5,Pennsylvania State University,"New Rochelle, New York","December 30, 1933",Fort Wayne Pistons,13th overall,"New Rochelle in New Rochelle, New York"
137,Jay Arnette,Point Guard and Shooting Guard,1960,6-2,University of Texas at Austin,"Austin, Texas","December 19, 1938",Cincinnati Royals,9th overall,"McCallum in Austin, Texas"
138,Bob Arnzen,Small Forward,1969,6-5,University of Notre Dame,"Covington, Kentucky","November 3, 1947",Detroit Pistons,103rd overall,"Saint Xavier in Cincinnati, Ohio"
140,Darrell Arthur,Small Forward and Power Forward,2008,6-9,University of Kansas,"Dallas, Texas","March 25, 1988",New Orleans Hornets,27th overall,"South Oak Cliff in Dallas, Texas"
144,Vincent Askew,Shooting Guard,1987,6-6,University of Memphis,"Memphis, Tennessee","February 28, 1966",Philadelphia 76ers,39th overall,"Frayser in Memphis, Tennessee"
149,Al Attles,Point Guard,1960,6-0,North Carolina Agricultural and Technical State University,"Newark, New Jersey","November 7, 1936",Philadelphia Warriors,39th overall,"Weequahic in Newark, New Jersey"
151,Stacey Augmon,Small Forward and Shooting Guard,1991,6-8,"University of Nevada, Las Vegas","Pasadena, California","August 1, 1968",Atlanta Hawks,9th overall,"John Muir in Pasadena, California"
152,D.J. Augustin,Point Guard,2008,6-0,University of Texas at Austin,"New Orleans, Louisiana","November 10, 1987",Charlotte Bobcats,9th overall,"Hightower in Missouri City, Texas"
153,James Augustine,Power Forward,2006,6-10,University of Illinois at Urbana-Champaign,"Midlothian, Illinois","February 27, 1984",Orlando Magic,41st overall,"Lincoln-Way Central in Mokena, Illinois"
154,Isaac Austin,Center,1991,6-10,Arizona State University,"Gridley, California","August 18, 1969",Utah Jazz,48th overall,"Las Plumas in Oroville, California"
155,Johnny Austin,Shooting Guard,1966,6-0,Boston College,"Washington, District of Columbia","August 31, 1944",Boston Celtics,38th overall,"DeMatha Catholic in Hyattsville, Maryland"
156,Ken Austin,Small Forward,1983,6-9,Rice University,"Los Angeles, California","July 15, 1961",Detroit Pistons,101st overall,"Verbum Dei in Los Angeles, California"
157,Anthony Avent,Power Forward,1991,6-9,Seton Hall University,"Rocky Mount, North Carolina","October 18, 1969",Atlanta Hawks,15th overall,"Malcolm X Shabazz in Newark, New Jersey"
159,William Avery,Point Guard,1999,6-2,Duke University,"Augusta, Georgia","August 8, 1979",Minnesota Timberwolves,14th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
160,Dennis Awtrey,Center,1970,6-10,Santa Clara University,"Hollywood, California","February 22, 1948",Philadelphia 76ers,46th overall,"Blackford in San Jose, California"
162,Jeff Ayres,Center and Power Forward,2009,6-9,Arizona State University,"Ontario, California","April 29, 1987",Sacramento Kings,31st overall,"Etiwanda in Rancho Cucamonga, California"
163,Deandre Ayton,Center,2018,7-1,University of Arizona,"Nassau, Bahamas","July 23, 1998",Phoenix Suns,1st overall,"Hillcrest Prep Academy in Phoenix, Arizona"
166,Luke Babbitt,Small Forward and Power Forward,2010,6-9,"University of Nevada, Reno","Cincinnati, Ohio","June 20, 1989",Minnesota Timberwolves,16th overall,"Galena in Reno, Nevada"
167,Milos Babic,Center and Power Forward,1990,7-0,Tennessee Technological University,"Kraljevo, Serbia","November 23, 1968",Phoenix Suns,50th overall,"Kraljevo in Kraljevo, Serbia"
169,Dwayne Bacon,Shooting Guard,2017,6-7,Florida State University,"Lakeland, Florida","August 30, 1995",New Orleans Pelicans,40th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
170,Henry Bacon,Shooting Guard,1972,6-3,University of Louisville,"Louisville, Kentucky","July 5, 1948",Golden State Warriors,93rd overall,"Male in Louisville, Kentucky"
171,Jim Baechtold,Small Forward,1952,6-4,Eastern Kentucky University,"McKeesport, Pennsylvania","December 9, 1927",Baltimore Bullets,2nd overall,"Moon in Coraopolis, Pennsylvania"
173,John Bagley,Point Guard,1982,6-0,Boston College,"Bridgeport, Connecticut","April 23, 1960",Cleveland Cavaliers,12th overall,"Warren Harding in Bridgeport, Connecticut"
174,Marvin Bagley III,Power Forward,2018,6-11,Duke University,"Tempe, Arizona","March 14, 1999",Sacramento Kings,2nd overall,"Sierra Canyon in Chatsworth, California"
175,Carl Bailey,Center,1980,7-0,Tuskegee University,"Birmingham, Alabama","April 23, 1958",Seattle SuperSonics,66th overall,"Jackson-Olin in Birmingham, Alabama"
176,Gus Bailey,Shooting Guard,1974,6-5,University of Texas at El Paso,"Gibson, North Carolina","February 18, 1951",Houston Rockets,23rd overall,"Burgess in El Paso, Texas"
177,James Bailey,Power Forward,1979,6-9,Rutgers University,"Dublin, Georgia","May 21, 1957",Seattle SuperSonics,6th overall,"Xaverian in Westwood, Massachusetts"
178,Thurl Bailey,Power Forward and Small Forward,1983,6-11,North Carolina State University,"Washington, District of Columbia","April 7, 1961",Utah Jazz,7th overall,"Bladensburg in Bladensburg, Maryland"
179,Toby Bailey,Shooting Guard,1998,6-6,"University of California, Los Angeles","Los Angeles, California","November 19, 1975",Los Angeles Lakers,45th overall,"Loyola in Los Angeles, California"
180,Cameron Bairstow,Center and Power Forward,2014,6-9,University of New Mexico,"Brisbane, Australia","December 7, 1990",Chicago Bulls,49th overall,"Australian Institute of Sport in Canberra, Australia"
181,Jimmie Baker,Power Forward,1975,6-9,University of Hawaii,"Philadelphia, Pennsylvania","December 25, 1953",Philadelphia 76ers,39th overall,"Olney in Philadelphia, Pennsylvania"
186,Vin Baker,Power Forward and Center,1993,6-11,University of Hartford,"Lake Wales, Florida","November 23, 1971",Milwaukee Bucks,8th overall,"Old Saybrook in Old Saybrook, Connecticut"
187,Wade Baldwin,Point Guard,2016,6-4,Vanderbilt University,"Belle Mead, New Jersey","March 29, 1996",Memphis Grizzlies,17th overall,"St. Joseph in Metuchen, New Jersey"
188,Renaldo Balkman,Small Forward and Power Forward,2006,6-8,University of South Carolina,"Staten Island, New York","July 14, 1984",New York Knicks,20th overall,"Laurinburg Institute in Laurinburg, North Carolina"
190,Lonzo Ball,Point Guard,2017,6-6,"University of California, Los Angeles","Anaheim, California","October 27, 1997",Los Angeles Lakers,2nd overall,"Chino Hills in Chino Hills, California"
191,Greg Ballard,Small Forward,1977,6-7,University of Oregon,"Los Angeles, California","January 29, 1955",Washington Bullets,4th overall,"Garey in Pomona, California"
193,Mohamed Bamba,Center,2018,7-0,University of Texas at Austin,"Harlem, New York","May 12, 1998",Orlando Magic,6th overall,"Westtown School in West Chester, Pennsylvania"
194,Gene Banks,Small Forward and Power Forward,1981,6-7,Duke University,"Philadelphia, Pennsylvania","May 15, 1959",San Antonio Spurs,28th overall,"West Philadelphia in Philadelphia, Pennsylvania"
195,Marcus Banks,Point Guard,2003,6-2,"University of Nevada, Las Vegas","Las Vegas, Nevada","November 19, 1981",Memphis Grizzlies,13th overall,"Cimarron Memorial in Las Vegas, Nevada"
197,Ken Bannister,Power Forward,1984,6-9,"Indiana State University, Saint Augustine's College","Baltimore, Maryland","April 1, 1960",New York Knicks,156th overall,"Southwestern in Baltimore, Maryland"
198,Mike Bantom,Small Forward and Power Forward,1973,6-9,Saint Joseph's University,"Philadelphia, Pennsylvania","December 3, 1951",Phoenix Suns,8th overall,"Roman Catholic in Philadelphia, Pennsylvania"
201,Steve Bardo,Shooting Guard,1990,6-5,University of Illinois at Urbana-Champaign,"Henderson, Kentucky","April 5, 1968",Atlanta Hawks,41st overall,"Carbondale in Carbondale, Illinois"
205,Tom Barker,Center,1976,6-11,University of Hawaii,"Harlingen, Texas","March 11, 1955",Atlanta Hawks,53rd overall,"Welasco in Harlingen, Texas"
206,Charles Barkley,Small Forward and Power Forward,1984,6-6,Auburn University,"Leeds, Alabama","February 20, 1963",Philadelphia 76ers,5th overall,"Leeds in Leeds, Alabama"
207,Erick Barkley,Point Guard,2000,6-1,St. John's University,"Queens, New York","February 21, 1978",Portland Trail Blazers,28th overall,"Maine Central Institute in Pittsfield, Maine"
209,Harrison Barnes,Power Forward and Small Forward,2012,6-8,University of North Carolina,"Ames, Iowa","May 30, 1992",Golden State Warriors,7th overall,"Ames in Ames, Iowa"
211,Jim Barnes,Power Forward and Center,1964,6-8,University of Texas at El Paso,"Tuckerman, Arkansas","April 13, 1941",New York Knicks,1st overall,"Stillwater in Stillwater, Oklahoma"
212,Marvin Barnes,Power Forward,1974,6-8,Providence College,"Providence, Rhode Island","July 27, 1952",Philadelphia 76ers,2nd overall,"Central in Providence, Rhode Island"
213,Matt Barnes,Small Forward and Power Forward,2002,6-7,"University of California, Los Angeles","Santa Clara, California","March 9, 1980",Memphis Grizzlies,46th overall,"Del Campo in Sacramento, California"
214,Dick Barnett,Shooting Guard,1959,6-4,Tennessee State University,"Gary, Indiana","October 2, 1936",Syracuse Nationals,4th overall,"Roosevelt in Gary, Indiana"
215,Jim Barnett,Point Guard and Shooting Guard,1966,6-4,University of Oregon,"Greenville, South Carolina","July 7, 1944",Boston Celtics,8th overall,"Ramona in Riverside, California"
217,John Barnhill,Shooting Guard and Point Guard,1959,6-1,Tennessee State University,"Sturgis, Kentucky","March 20, 1938",St. Louis Hawks,77th overall,"Lincoln in Evansville, Indiana"
221,Mike Barr,Shooting Guard,1972,6-3,Duquesne University,"Canton, Ohio","October 19, 1950",Chicago Bulls,180th overall,"Lehman in Canton, Ohio"
224,Ernie Barrett,Shooting Guard,1951,6-3,Kansas State University,"Pratt, Kansas","August 27, 1929",Boston Celtics,7th overall,"Wellington in Wellington, Kansas"
227,Dana Barros,Point Guard and Shooting Guard,1989,5-11,Boston College,"Boston, Massachusetts","April 13, 1967",Seattle SuperSonics,16th overall,"Xaverian in Westwood, Massachusetts"
228,Brent Barry,Small Forward and Shooting Guard,1995,6-6,Oregon State University,"Hempstead, New York","December 31, 1971",Denver Nuggets,15th overall,"De La Salle Catholic in Concord, California"
229,Drew Barry,Shooting Guard and Point Guard,1996,6-5,Georgia Institute of Technology,"Oakland, California","February 17, 1973",Seattle SuperSonics,57th overall,"De La Salle Catholic in Concord, California"
230,Jon Barry,Shooting Guard,1992,6-4,"University of the Pacific, Georgia Institute of Technology","Oakland, California","July 25, 1969",Boston Celtics,21st overall,"De La Salle Catholic in Concord, California"
231,Rick Barry,Small Forward,1965,6-7,University of Miami,"Elizabeth, New Jersey","March 28, 1944",San Francisco Warriors,2nd overall,"Roselle Park in Roselle Park, New Jersey"
234,Will Barton,Shooting Guard,2012,6-6,University of Memphis,"Baltimore, Maryland","January 6, 1991",Portland Trail Blazers,40th overall,"Brewster Academy in Wolfeboro, New Hampshire"
237,Brandon Bass,Power Forward and Center,2005,6-8,Louisiana State University,"Baton Rouge, Louisiana","April 30, 1985",New Orleans Hornets,33rd overall,"Capitol in Baton Rouge, Louisiana"
238,Tim Bassett,Power Forward,1973,6-8,University of Georgia,"Washington, District of Columbia","April 1, 1951",Buffalo Braves,106th overall,"McKinley in Washington, District of Columbia"
239,Maceo Baston,Power Forward,1998,6-9,University of Michigan,"Corsicana, Texas","May 29, 1975",Chicago Bulls,58th overall,"H. Grady Spruce in Dallas, Texas"
241,Billy Ray Bates,Shooting Guard,1978,6-4,Kentucky State University,"Kosciusko, Mississippi","May 31, 1956",Houston Rockets,47th overall,"McAdams in Camden, Mississippi"
242,Keita Bates-Diop,Small Forward,2018,6-9,Ohio State University,"Bloomington, Illinois","January 23, 1996",Minnesota Timberwolves,48th overall,"University HS in Normal, Illinois"
245,Tony Battie,Center and Power Forward,1997,6-11,Texas Tech University,"Dallas, Texas","February 11, 1976",Denver Nuggets,5th overall,"South Oak Cliff in Dallas, Texas"
246,Shane Battier,Small Forward and Shooting Guard,2001,6-8,Duke University,"Birmingham, Michigan","September 9, 1978",Memphis Grizzlies,6th overall,"Detroit Country Day School in Beverly Hills, Michigan"
247,John Battle,Shooting Guard,1985,6-2,Rutgers University,"Washington, District of Columbia","November 9, 1962",Atlanta Hawks,84th overall,"McKinley in Washington, District of Columbia"
248,Kenny Battle,Shooting Guard,1989,6-6,"Northern Illinois University, University of Illinois at Urbana-Champaign","Aurora, Illinois","October 10, 1964",Detroit Pistons,27th overall,"West Aurora in Aurora, Illinois"
249,Dave Batton,Center,1978,6-10,University of Notre Dame,"Baltimore, Maryland","March 26, 1956",New Jersey Nets,62nd overall,"Springfield (Delco) in Springfield, Pennsylvania"
250,Lloyd Batts,Shooting Guard,1974,6-4,University of Cincinnati,"Chicago, Illinois","May 9, 1951",Kansas City-Omaha Kings,60th overall,"Thornton Township in Harvey, Illinois"
252,Johnny Baum,Small Forward,1968,6-5,Temple University,"Philadelphia, Pennsylvania","June 17, 1946",Los Angeles Lakers,187th overall,"West Philadelphia in Philadelphia, Pennsylvania"
254,Lonny Baxter,Power Forward and Center,2002,6-8,University of Maryland,"Silver Spring, Maryland","January 27, 1979",Chicago Bulls,44th overall,"Hargrave Military Academy in Chatham, Virginia"
255,Jerryd Bayless,Point Guard and Shooting Guard,2008,6-3,University of Arizona,"Phoenix, Arizona","August 20, 1988",Indiana Pacers,11th overall,"Saint Mary's in Phoenix, Arizona"
256,Elgin Baylor,Small Forward,1st ,6-5,"Albertson College of Idaho, Seattle University","Washington, District of Columbia","September 16, 1934",Minneapolis Lakers,and Minneapolis Lakers,"Spingarn in Washington, District of Columbia"
